,1,2,3,4,5,6
0,image/0300g120004e6sf00E4F4_D_350_170_Q90.jpg,image/0304s120008a589u0F966_D_350_170_Q90.jpg,image/10010x000000lt6dtE45D_D_350_170_Q90.jpg,image/300q10000000pp4dv92AB_D_350_170_Q90.jpg,image/300t10000000p3bt882F1_D_350_170_Q90.jpg,image/300e10000000p60zm4BC0_D_350_170_Q90.jpg
1,0,56,50,10,50,50
2,2,4,25,11,72,72
3,3,57,65,12,21,21
4,6,58,66,13,24,24
5,20,59,27,14,25,25
6,5,60,67,16,23,23
7,34,61,68,15,73,73
8,7,62,69,17,28,28
9,1,63,70,18,74,74
10,9,64,71,19,22,22
11,1001,1046,1030,2002,1011,1011
12,1000,,1043,2025,2001,1012
13,1002,,1012,2022,2002,2010
14,1020,,2018,2021,2017,2009
15,1021,,2024,3026,2049,3013
16,2041,,2031,3027,3023,3014
17,2028,,2023,3028,3037,3015
18,2011,,3002,3024,3022,3016
19,2024,,3001,4023,3025,4039
20,2042,,3047,4029,3050,4038
21,2043,,4032,4030,3021,5001
22,2030,,4048,4031,,5002
23,3023,,4025,,,6023
24,3037,,4021,,,6037
25,3022,,,,,6025
26,3025,,,,,6022
27,3044,,,,,6050
28,3032,,,,,6021
29,3045,,,,,
