,spotlist_id,max_day,spotlist_image
0,2021001,3,image/03069120008469hqc9163_D_350_170_Q90.jpg
1,2021002,4,image/0302p120008466i6r8615_D_350_170_Q90.jpg
2,2021003,3,image/100r0x000000le7pd8AA8_D_350_170_Q90.jpg
3,2021004,3,image/10070f0000007ksnk631C_D_350_170_Q90.jpg
4,2021005,2,image/030011200081piiah177C_D_350_170_Q90.jpg
5,2021006,2,image/20080u000000j193c66B0_D_350_170_Q90.jpg
6,2021007,3,image/100p0j000000aob284255_D_350_170_Q90.jpg
7,2021008,3,image/100r0f0000007ks52FD01_D_350_170_Q90.jpg
8,2021009,4,image/100d0j000000anvxcB6BB_D_350_170_Q90.jpg
9,2021010,3,image/0300q12000859jepd2F56_D_350_170_Q90.jpg
10,2021011,3,image/03050120005u5gmyf4306_D_350_170_Q90.jpg
11,2021012,3,image/0306912000849a2cf38F0_D_350_170_Q90.jpg
12,2021013,3,image/10040p000000fx58pE4DB_D_350_170_Q90.jpg
13,2021014,3,image/0305f1200084y78yu333E_D_350_170_Q90.jpg
14,2021015,6,image/300f0q000000gl5r3DC41_D_350_170_Q90.jpg
15,2021016,5,image/0300y1200087j15g78E5A_D_350_170_Q90.jpg
16,2021017,5,image/030691200082y6nqe78A7_D_350_170_Q90.jpg
17,2021018,3,image/0300h120008a2y9tfC147_D_350_170_Q90.jpg
18,2021019,4,image/0304r120008apirgu2621_D_350_170_Q90.jpg
19,2021020,3,image/0304h1200082yq9ld5B5B_D_350_170_Q90.jpg
20,2021021,4,image/10030e00000077tj23C12_D_350_170_Q90.jpg
21,2021022,4,image/0301s120002mlmcdj32B3_D_350_170_Q90.jpg
22,2021023,7,image/0304w120008alhpwtA6A6_D_350_170_Q90.png
23,2021024,3,image/0303l1200082vvty42911_D_350_170_Q90.jpg
24,2021025,3,image/030381200087fix3836BC_D_350_170_Q90.jpg
25,2021026,4,image/030581200087fir294DC6_D_350_170_Q90.jpg
26,2021027,3,image/0303h120006xob4x17120_D_350_170_Q90.jpg
27,2021028,4,image/100o10000000ow3dqA97D_D_350_170_Q90.jpg
28,2021029,5,image/Cghzf1WwzquAaNoTAA-4p8Ofu10531_D_350_170_Q90.jpg
29,2021030,4,image/30030t000000ij00s041E_D_350_170_Q90.jpg
30,2021031,3,image/0302h120008bm8s473CF6_D_350_170_Q90.jpg
